Тема,Заголовок,Застройщик,Приоритет застройщика,Приоритет от стейкхолдеров,Дата создания,Модуль,Состояние пожелания,ID задачи
Платные брони: Общие,Привести редактирование помещения из карточки и из массового редактора к единому виду,Элемент,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,23 мая 2024 10:08,Карточка помещения (space),Зафиксировано,HELPDESK-1829
Платные брони: Общие,"Ставить бронь на выбранное помещение при причине отзыва ""смена объекта",Амград,B,Нет: приоритет от стейкхолдера,28 июл. 2025 19:54,Платные брони (reserve paid),Зафиксировано,HELPDESK-5490
Платные брони: Общие,"Добавить возможность указать просто дни, а не только ""рабочие дни",АльфаСтройИнвест,A,A,29 авг. 2025 16:07,Справочники (dictionary),В очереди на разработку,HELPDESK-5703
Платные брони: Общие,"Ошибка ""Действие доступно автору"" при изменении платной брони",Амград,C,Нет: приоритет от стейкхолдера,29 окт. 2025 16:36,Платные брони (reserve paid),В очереди на разработку,HELPDESK-6044
Платные брони: Общие,Добавить мультивыбор объектов в конфигураторе платной брони,Аквилон,C,Нет: приоритет от стейкхолдера,3 июн. 2024 13:19,Справочники (dictionary),Зафиксировано,HELPDESK-1909
Платные брони: Общие,Добавить возможность выделять права доступа на офисы продаж,Плюс,A,Нет: приоритет от стейкхолдера,31 июл. 2025 14:06,Права (access),Зафиксировано,HELPDESK-5524
Платные брони: Общие,"Добавить поле ""Комментарий"" при синхронизации ПБ с СРМ",ALLIO Demo,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,4 дек. 2025 16:06,Платные брони (reserve paid),Рассматривает разработка,HELPDESK-6284
Платные брони: Общие,"Добавить в окно ""Выбор стоимости"" также выбор акций",Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,6 дек. 2023 14:17,Буферный реестр (revokeapprove),Зафиксировано,HELPDESK-152
Платные брони: Общие,Добавить мультивыбор объектов в конфигураторе платной брони,Острова,B,Нет: приоритет от стейкхолдера,9 июл. 2024 13:08,Платные брони (reserve paid),Зафиксировано,HELPDESK-2321
Права: Доступ к объектам,Ограничения прав доступа по объектам,Макси,B,Нет: приоритет от стейкхолдера,11 июл. 2025 11:06,—,Зафиксировано,HELPDESK-5334
