Тема,Заголовок,Застройщик,Приоритет застройщика,Приоритет от стейкхолдеров,Дата создания,Модуль,Состояние пожелания,ID задачи
Платные брони: Общие,Добавить в платную бронь возможность индивидуального изменения цены через процент,Плюс,B,Нет: приоритет от стейкхолдера,26 февр. 2025 17:25,Платные брони (reserve paid),Зафиксировано,HELPDESK-4443
Платные брони: Общие,"Ставить бронь на выбранное помещение при причине отзыва ""смена объекта",Амград,B,Нет: приоритет от стейкхолдера,28 июл. 2025 19:54,Платные брони (reserve paid),Зафиксировано,HELPDESK-5490
Платные брони: Общие,"Добавить возможность указать просто дни, а не только ""рабочие дни",АльфаСтройИнвест,A,A,29 авг. 2025 16:07,Справочники (dictionary),В очереди на разработку,HELPDESK-5703
Платные брони: Общие,Добавить возможность выделять права доступа на офисы продаж,Плюс,A,Нет: приоритет от стейкхолдера,31 июл. 2025 14:06,Права (access),Зафиксировано,HELPDESK-5524
Платные брони: Общие,Изменить логику добавления помещений в фид для агрегатора,Плюс,B,Нет: приоритет от стейкхолдера,7 авг. 2025 17:41,Фиды (feeds),Зафиксировано,HELPDESK-5580
Платные брони: Продление,Добавить возможность массово продлевать платные брони,Плюс,A,Нет: приоритет от стейкхолдера,20 янв. 2025 18:05,Платные брони (reserve paid),Зафиксировано,HELPDESK-4083
Платные брони: Продление,Снизить лимит на кол-во символов для причины продления брони,УДС,B,Нет: приоритет от стейкхолдера,21 февр. 2025 14:35,Платные брони (reserve paid),На паузе,HELPDESK-4417
Платные брони: Продление,Сделать согласование на продление броней,Амград,B,Нет: приоритет от стейкхолдера,30 апр. 2025 10:06,Платные брони (reserve paid),На проверке,HELPDESK-4913
Права: Доступ к объектам,Ограничения прав доступа по объектам,Макси,B,Нет: приоритет от стейкхолдера,11 июл. 2025 11:06,—,Зафиксировано,HELPDESK-5334
Права: Общие,Добавить право для добавления даты аккредитива и файла оплаты,Аквилон,B,Нет: приоритет от стейкхолдера,13 мая 2025 13:42,Права (access),Зафиксировано,HELPDESK-4972
Права: Общие,Нет возможности с ролью менеджера просмотреть Изменения в сделке,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,29 мая 2025 13:55,Права (access),Зафиксировано,HELPDESK-5075
Права: Общие,Класс пользователя — Интегратор,ALLIO Dev,B,B,30 дек. 2025 12:29,Права (access),Требует уточнения,HELPDESK-6469
Права: Пожелания застройщика,"Добавить кнопку ""Удалить аккаунт"" в ЛК покупателя",Плюс,A,Нет: приоритет от стейкхолдера,15 сент. 2025 14:49,Личный кабинет (personal),Сообщено клиенту,HELPDESK-5778
Прочее,Добавить возможность создавать сценарий продаж на несколько объектов,Плюс,A,A,10 мар. 2025 12:14,Сценарии продаж (scenario),Зафиксировано,HELPDESK-4538
Прочее,Настраиваемые поля в сущностях Allio,Атлас,B,Нет: приоритет от стейкхолдера,13 авг. 2025 12:08,Меню (menu),Зафиксировано,HELPDESK-5619
Прочее,Скрывать удаленных пользователей из списков менеджеров,Аквилон,B,Нет: приоритет от стейкхолдера,16 мая 2025 14:59,Пользователи (user),Рассматривает аккаунт,HELPDESK-5002
Прочее,Расхождение суммы площадей и общей площади неверно считается,Плюс,B,Нет: приоритет от стейкхолдера,17 июл. 2025 09:58,Карточка помещения (space),Зафиксировано,HELPDESK-5394
Прочее,Заменить карты Гугл в Аллио,Эффект Девелопмент,A,Нет: приоритет от стейкхолдера,19 июн. 2025 18:04,Карточка объекта (building),Зафиксировано,HELPDESK-5206
Прочее,Подписывать название фида на странице его настройки,Атлас,A,Нет: приоритет от стейкхолдера,20 мая 2025 08:06,Фиды (feeds),Зафиксировано,HELPDESK-5012
Прочее,Добавить возможность формировать фид для ДОМ РФ,Эффект Девелопмент,A,Нет: приоритет от стейкхолдера,21 июл. 2025 15:43,Фиды (feeds),Сообщено клиенту,HELPDESK-5421
Прочее,"Возможность скрывать ""Расчёты"" из карточки помещения и при настройке КП",Атлас,B,Нет: приоритет от стейкхолдера,21 мар. 2025 08:44,Ипотечный калькулятор (mortage_calc),Зафиксировано,HELPDESK-4636
Прочее,Могу ли я сформировать фид без старта продаж,Оникс,A,Нет: приоритет от стейкхолдера,22 сент. 2025 12:39,Фиды (feeds),Зафиксировано,HELPDESK-5829
Прочее,Более подробно логировать историю изменения цены,Атлас,B,Нет: приоритет от стейкхолдера,23 июл. 2025 06:44,Карточка помещения (space),В очереди на разработку,HELPDESK-5437
Прочее,Название фида не помещается в ячейке таблицы,УДС,B,Нет: приоритет от стейкхолдера,23 янв. 2025 18:23,Фиды (feeds),Зафиксировано,HELPDESK-4117
Прочее,Можно ли сделать чтобы другой сотрудник мог видеть мои обращения,Амград,B,Нет: приоритет от стейкхолдера,24 июл. 2025 17:22,Ассистент (issues),Зафиксировано,HELPDESK-5464
Прочее,Добавить возможность считать стоимость отделки от жилой площади помещения,Оникс,A,Нет: приоритет от стейкхолдера,24 сент. 2025 07:12,Справочники (dictionary),Зафиксировано,HELPDESK-5848
Прочее,Есть ли возможность формировать YML-фид,Атлас,B,Нет: приоритет от стейкхолдера,29 июл. 2025 12:57,Фиды (feeds),Зафиксировано,HELPDESK-5491
Прочее,Возможность выбора подписанта со стороны застройщика,ЛенРусСтрой,B,Нет: приоритет от стейкхолдера,29 июл. 2025 14:32,—,Зафиксировано,HELPDESK-5494
Прочее,Уменьшить кол-во вариаций шаблонов для генерации документов,ЛенРусСтрой,A,Нет: приоритет от стейкхолдера,29 июл. 2025 14:41,—,Зафиксировано,HELPDESK-5495
Прочее,Персонализация кабинета Аллио,ALLIO Dev,A,A,30 дек. 2025 15:40,Меню (menu),Требует уточнения,HELPDESK-6473
Прочее,Обновить справку по содержанию полей в фиде для сайта,Амград,B,Нет: приоритет от стейкхолдера,30 июл. 2025 15:15,Центр поддержки (support),В очереди на разработку,HELPDESK-5516
Прочее,Отображать в системе обращения всех пользователей,Амград,B,Нет: приоритет от стейкхолдера,30 окт. 2025 18:07,Ассистент (issues),Зафиксировано,HELPDESK-6052
Прочее,Сохранять фильтрацию по статусам при переходе на другой ЖК,Аквилон,B,Нет: приоритет от стейкхолдера,4 июн. 2025 09:26,Карточка объекта (building),Рассматривает аккаунт,HELPDESK-5104
Прочее,Добавить возможность создать план продаж на квартал,Верен,B,Нет: приоритет от стейкхолдера,5 авг. 2025 18:49,План продаж (plan),Рассматривает аккаунт,HELPDESK-5562
Прочее,Добавить поля для выгрузки планов в фиды,УДС,A,Нет: приоритет от стейкхолдера,6 мая 2025 12:21,Фиды (feeds),Зафиксировано,HELPDESK-4941
Прочее,"Реализовать выгрузку всего реестра мультипродаж, а не постраничную",Аквилон,A,A,6 февр. 2025 18:26,Таблицы (table),Зафиксировано,HELPDESK-4249
Прочее,Добавить поля для планировок в фид,Острова,B,Нет: приоритет от стейкхолдера,7 июл. 2025 13:14,Фиды (feeds),Зафиксировано,HELPDESK-5300
Прочее,"Выгружать в фиды изображения из раздела ""Дополнительные",Сити Солюшн,A,Нет: приоритет от стейкхолдера,7 мая 2025 11:30,Фиды (feeds),Зафиксировано,HELPDESK-4946
Прочее,Убрать из фида для Петербургской недвижимости все данные по покупателям и менеджерам,Аквилон,A,Нет: приоритет от стейкхолдера,7 мая 2025 13:31,Фиды (feeds),Зафиксировано,HELPDESK-4949
Прочее,Добавить возможность ставить не целое число в план продаж,Аквилон,A,Нет: приоритет от стейкхолдера,9 апр. 2025 12:44,План продаж (plan),Зафиксировано,HELPDESK-4773
Уведомления: Telegram,Добавить возможность отправки уведомлений из ALLIO в telegram,Макрострой,A,Нет: приоритет от стейкхолдера,29 янв. 2025 13:11,Уведомления (events),Зафиксировано,HELPDESK-4155
Уведомления: Общие,Поднять вверх в адаптиве кнопку Скрыть для уведомлений,Аквилон,B,Нет: приоритет от стейкхолдера,18 апр. 2025 11:52,Уведомления (events),Зафиксировано,HELPDESK-4852
Уведомления: Общие,Уведомлять пользователей об изменениях в обсуждении ЗнД,Верен,A,Нет: приоритет от стейкхолдера,24 июл. 2025 16:25,Заявки на договор (applist),Рассматривает аккаунт,HELPDESK-5462
Устные брони: Комментарии,Можно ли редактировать комментарий из реестра устных и платных броней,Верен,B,Нет: приоритет от стейкхолдера,17 февр. 2025 16:32,Устные брони (reserve free),Зафиксировано,HELPDESK-4350
Устные брони: Комментарии,Пожелания на доработку реестра устных и платных броней,Амград,A,Нет: приоритет от стейкхолдера,21 мая 2025 10:45,Таблицы (table),Рассматривает разработка,HELPDESK-5029
Устные брони: Контроль и ограничения,Добавить новые уведомления в систему,Амград,B,Нет: приоритет от стейкхолдера,21 мар. 2025 11:42,Уведомления (events),Зафиксировано,HELPDESK-4637
