Этаж,Комнатность,Отделка,Вид из окон,Стоимость,Общая площадь (м.кв.),Высота потолка (м.),Срок сдачи
5,1к,Серый ключ,На улицу,7964700,"41,7","3,15",3 квартал 2027
5,2к,Серый ключ,На улицу,9893100,"67,3","3,15",3 квартал 2027
5,2к,Серый ключ,На улицу,10540000,68,"3,15",3 квартал 2027
5,2к,Серый ключ,На улицу,10036800,"65,6","3,15",3 квартал 2027
5,2к,Серый ключ,Во двор и на улицу,10528000,"65,8","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,8340000,"41,7","3,15",3 квартал 2027
6,2к,Серый ключ,На улицу,10566100,"67,3","3,15",3 квартал 2027
6,2к,Серый ключ,На улицу,10676000,68,"3,15",3 квартал 2027
6,2к,Серый ключ,На улицу,10561600,"65,6","3,15",3 квартал 2027
6,2к,Серый ключ,Во двор и на улицу,10659600,"65,8","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,8340000,"41,7","3,15",3 квартал 2027
7,2к,Серый ключ,На улицу,10566100,"67,3","3,15",3 квартал 2027
7,2к,Серый ключ,На улицу,10812000,68,"3,15",3 квартал 2027
7,2к,Серый ключ,На улицу,10327200,"65,6","3,15",3 квартал 2027
7,2к,Серый ключ,Во двор и на улицу,10528000,"65,8","3,15",3 квартал 2027
8,2к,Серый ключ,На улицу,10768000,"67,3","3,15",3 квартал 2027
8,2к,Серый ключ,На улицу,10880000,68,"3,15",3 квартал 2027
8,2к,Серый ключ,Во двор и на улицу,11383400,"65,8","3,15",3 квартал 2027
9,1к,Серый ключ,Во двор,10170000,"56,5","3,15",3 квартал 2027
9,2к,Серый ключ,На улицу,11121000,"67,4","3,15",3 квартал 2027
9,2к,Серый ключ,На улицу,11543000,"67,9","3,15",3 квартал 2027
9,2к,Серый ключ,На улицу,11348800,"65,6","3,15",3 квартал 2027
9,2к,Серый ключ,Во двор и на улицу,11844000,"65,8","3,15",3 квартал 2027
10,1к,Серый ключ,На улицу,8938800,"38,2","3,15",3 квартал 2027
10,2к,Серый ключ,На улицу,11525400,"67,4","3,15",3 квартал 2027
10,2к,Серый ключ,На улицу,11882500,"67,9","3,15",3 квартал 2027
10,1к,Серый ключ,На улицу,11676800,"65,6","3,15",3 квартал 2027
12,2к,Серый ключ,Во двор и на улицу,14880000,"74,4","3,15",3 квартал 2027
13,1к,Серый ключ,Во двор,11628000,68,"3,15",3 квартал 2027
